Category,Location,Incident,Date/Time
Sexual Invites,"Thamel, Kathmandu 44600, Nepal"," I went Thamel with my friends.It was around 11pm.I came outside from the hotel to buy cigarettes and one 3rd gender came to me and tried to...  
						  More Information »
« Less Information
","11:00 Jan 13, 2016"
Taking pictures,"Gheso Sol, West Bengal 721147, India"," A young boy took pictures when i was walking  
						  More Information »
« Less Information
","22:34 Jan 12, 2016"
Touching /Groping,"Borivali West, Mumbai, Maharashtra 400092, India"," while travelling in the rickshaw, a man tried to grope my breasts  
						  More Information »
« Less Information
","20:00 Jan 12, 2016"
Poor / No Street Lighting,"R.T.O./New Vikas Housing Society, Shatataraka Co Op Housing Society, Suresh Nagar, Andheri West, Mumbai, Maharashtra 400053"," Feels unsafe due to poor lighting  
						  More Information »
« Less Information
","20:00 Jan 12, 2016"
Catcalls/Whistles,"Block A, Dilshad Garden, New Delhi, Delhi, India"," a lady who was going back from her office to her place in the evening heard somebody whistling at her but she didn't pay too much attention...  
						  More Information »
« Less Information
","20:00 Jan 12, 2016"
Commenting,"soniwadi , Borivali West, Mumbai, Maharashtra 400092, India"," while learning to ride my 2 wheeler, 3 boys used to comment daily.  
						  More Information »
« Less Information
","19:00 Jan 12, 2016"
Commenting,"Santacruz Station, Railway Colony, Santacruz West, Mumbai, Maharashtra 400054"," some guys were commenting at the bus stop  
						  More Information »
« Less Information
","19:00 Jan 12, 2016"
Catcalls/Whistles,"Eksar, Borivali West, Mumbai, Maharashtra, India"," Catcalling and whistling  
						  More Information »
« Less Information
","18:13 Jan 12, 2016"
Catcalls/Whistles,"Shamiana Building, St Veronica Rd, Ranwar, Bandra West, Mumbai, Maharashtra 400050, India"," someone whistled at me  
						  More Information »
« Less Information
","18:04 Jan 12, 2016"
Taking pictures,"Juhu Beach, Airport Area, Juhu, Mumbai, Maharashtra 400049"," some people were clicking our pictures without permission  
						  More Information »
« Less Information
","18:00 Jan 12, 2016"
Commenting,"Bandra, Bandra East to West Railway Foot-Bridge, Bairam Naupada, Bandra West, Mumbai, Maharashtra 400050, India"," While going to bkc from the station, few guys were cm=ommenting.  
						  More Information »
« Less Information
","18:00 Jan 12, 2016"
Stalking,"Shimpoli Naka, Meghdoot, Mhatre Wadi, Borivali West, Mumbai, Maharashtra 400092"," called me on the terrace with a greed of chocolates. Followed me to the bus stop for 3 days  
						  More Information »
« Less Information
","18:00 Jan 12, 2016"
Taking pictures,marine drive," marine drive is a famous tourist spot in mumbai, people tend to take many pics so once when i was out with my cousins and we were chilling there...  
						  More Information »
« Less Information
","18:00 Jan 12, 2016"
Catcalls/Whistles,"Senapati Bapat Marg, Matunga Central Railway Workshop, Hanuman Nagar, Matunga West, Mumbai, Maharashtra 400016, India"," A few boys screamt from the train. This has happened a couple of times  
						  More Information »
« Less Information
","16:00 Jan 12, 2016"
Commenting,"Chowpatty, Girgaon, Mumbai, Maharashtra, India"," We were once at chowpatty, a few unknown boys came and started talking and commenting  
						  More Information »
« Less Information
","15:00 Jan 12, 2016"
Stalking,"Andheri, Railway Colony, Andheri East, Andheri, Maharashtra 400053, India"," A man followed us from andheri station to bandra station  
						  More Information »
« Less Information
","15:00 Jan 12, 2016"
Ogling/Facial Expressions/Staring,"Nana Chowk, Papanas Wadi, Grant Road, Mumbai, Maharashtra 400007"," a group of people were whistling at me and my friends.  
						  More Information »
« Less Information
","15:00 Jan 12, 2016"
Ogling/Facial Expressions/Staring,"Hormuzd Apartment, Kemps Corner, Malabar Hill, Mumbai, Maharashtra 400006, India"," a group of boys were standing there and starring at us. as we started moving one of them commented on my friend.  
						  More Information »
« Less Information
","15:00 Jan 12, 2016"
Indecent exposure,"Mutrah, Muscat, Oman"," A man pulled my skirt and ran away when I screamed.  
						  More Information »
« Less Information
","14:00 Jan 12, 2016"
Touching /Groping,"Goregaon West, Mumbai, Maharashtra 400062, India"," A man tried to touch the woman.  
						  More Information »
« Less Information
","09:00 Jan 12, 2016"
Stalking,"Vile Parle Railway Station, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400057, India"," A boy followed me till the college from the station.  
						  More Information »
« Less Information
","07:00 Jan 12, 2016"
Poor / No Street Lighting,"Police Colony, Kurla East, Mumbai, Maharashtra, India"," Kurla station very dimly lit and very unsafe  
						  More Information »
« Less Information
","19:24 Jan 11, 2016"
Stalking,"11 main, palace road, Vasanth Nagar, Bengaluru, Karnataka, India"," me and my cousin and her friend were having juice in the evening. there was a lot of rush and there were these 2 guys supposedly staring. since...  
						  More Information »
« Less Information
","18:47 Jan 11, 2016"
Taking pictures,"chuloor centre,Thriprayar, Kerala, India"," i had gone for 7 days NSS camp. we moved to the school early morning and everyday we came across few bengalies buzy with their mobile.once while...  
						  More Information »
« Less Information
","15:34 Jan 11, 2016"
Touching /Groping,"Grant Road station, Mumbai, Maharashtra 400007, India"," there have been many incidents with me being groped at public transport.  
						  More Information »
« Less Information
","12:00 Jan 11, 2016"
Touching /Groping,"Shiv Leela Apartment, Lamington Road, Pannalal Terrace, Grant Road station, Bharat Nagar, Girgaon, Mumbai, Maharashtra 400007, India"," there have been many incidents of being groped in public transport.  
						  More Information »
« Less Information
","12:00 Jan 11, 2016"
Stalking,"New Mhada Colony, Goregaon, Mumbai, Maharashtra, India"," 2 men were continuously following me. Police station is highly required there.  
						  More Information »
« Less Information
","21:00 Jan 10, 2016"
Indecent exposure,Mulund east," My neighbour tried to molest me by coming to my place with an excuse when he knew no one was home.  
						  More Information »
« Less Information
","18:00 Jan 09, 2016"
Stalking,"Mankhurd Gaon, Mankhurd, Mumbai, Maharashtra 400088, India"," someone commented vulgarly on my girlfriend in the Mumnai local (central line)  
						  More Information »
« Less Information
","14:00 Jan 09, 2016"
Catcalls/Whistles,"banasthali station,rajasthan, India"," I was coming back to my college from train when the boys in the train started whistling and commenting.  
						  More Information »
« Less Information
","13:00 Jan 09, 2016"
Stalking,"54, Alibhai Premji Rd, Grant Road East, Bharat Nagar, Grant Road, Mumbai, Maharashtra 400007, India"," A man was following me and whistling. I walked fast and lost him in the crowd.  
						  More Information »
« Less Information
","10:00 Jan 09, 2016"
Stalking,"54, Alibhai Premji Rd, Grant Road East, Bharat Nagar, Grant Road, Mumbai, Maharashtra 400007, India"," A man was following me and whistling. I walked fast and lost him in the crowd.  
						  More Information »
« Less Information
","10:00 Jan 09, 2016"
Stalking,"54, Alibhai Premji Rd, Grant Road East, Bharat Nagar, Grant Road, Mumbai, Maharashtra 400007, India"," A man was following me and whistling. I walked fast and lost him in the crowd.  
						  More Information »
« Less Information
","10:00 Jan 09, 2016"
Stalking,"Shiv Leela Apartment, Lamington Road, Pannalal Terrace, Grant Road East, Bharat Nagar, Girgaon, Mumbai, Maharashtra 400007, India"," A man was following me and whistling at me.  
						  More Information »
« Less Information
","10:00 Jan 09, 2016"
Ogling/Facial Expressions/Staring,"sindhi camp, Jaipur, India"," while I was waiting for my friend at the bus stop of an unknown city an elderly man kept starring me for about an hour.  
						  More Information »
« Less Information
","10:00 Jan 09, 2016"
Ogling/Facial Expressions/Staring,"Andhra Pradesh 516431, India"," Comments passed by two boys riding a bike  
						  More Information »
« Less Information
","20:00 Jan 08, 2016"
Stalking,"Karma, Chhattisgarh 495009, India"," A man followed me till my house  
						  More Information »
« Less Information
","18:00 Jan 08, 2016"
Commenting,"Conquirem Shivade, Goa, India"," Boy commenting on my figure  
						  More Information »
« Less Information
","18:00 Jan 08, 2016"
Ogling/Facial Expressions/Staring,"Nehru Nagar, Nirman Kunj, ADB PWD Colony, Sector 16A, Faridabad, Haryana 121002, India"," two men were staring at a woman.  
						  More Information »
« Less Information
","12:00 Jan 08, 2016"
Ogling/Facial Expressions/Staring,"Chhatrapati Shivaji Terminus Area, Fort, Mumbai, Maharashtra 400001, India"," There is not a single reason  
						  More Information »
« Less Information
","07:00 Jan 08, 2016"
Ogling/Facial Expressions/Staring,"Maharashtra 415211, India"," Passing comments and whistling  
						  More Information »
« Less Information
","18:00 Jan 07, 2016"
Ogling/Facial Expressions/Staring,"36, 9th Rd, Bandra West, Mumbai, Maharashtra 400050, India"," a random man on a bike stopped me and a few school going girls and flashed us, laughed and ran away  
						  More Information »
« Less Information
","14:00 Jan 07, 2016"
Ogling/Facial Expressions/Staring,"5, Sadar Bazar Rd, Jacobpura, Sector 12, Gurugram, Haryana 122001, India"," Happened when I was in school,in an auto that i used to take regularly. The auto driver used to harrasment. Told my parents one day and stopped...  
						  More Information »
« Less Information
","14:00 Jan 07, 2016"
Touching /Groping,"Dombivli, Maharashtra 421202, India"," i was once out with my friends for a movie..so while in the theater a guy sitting next to me..was trying to touch my hand..it freaked me out  
						  More Information »
« Less Information
","13:00 Jan 07, 2016"
Ogling/Facial Expressions/Staring,"Kurla, Mumbai, Maharashtra 400001, India"," kurla station really gets scary at night. once i was trying to get a train from kurla station..around 10 pm and their were men staring at me...  
						  More Information »
« Less Information
","20:00 Jan 06, 2016"
Touching /Groping,"Bura Bazar, Bankra, Howrah, West Bengal, India"," Elbowing in an inappropriate way.  
						  More Information »
« Less Information
","19:00 Jan 06, 2016"
Commenting,"Haider Pur, Shalimar Bagh, New Delhi, Delhi 110088, India"," a boy sitting far away with his friends kept saying something or the other to a girl in haiderpur village when she was standing at her balcony.  
						  More Information »
« Less Information
","16:00 Jan 06, 2016"
Touching /Groping,"Jahangir Puri Metro Station, Bhalswa Jahangirpuri, Jahangirpuri, New Delhi, Delhi 110033, India"," at the metro station there was so much rush that the girl couldn't help when a boy was again and again touching her private parts.  
						  More Information »
« Less Information
","16:00 Jan 06, 2016"
Ogling/Facial Expressions/Staring,Kerala  India," the security guard of our building keeps staring at me and makes weird faces whenever i see him it is offending.  
						  More Information »
« Less Information
","16:00 Jan 06, 2016"
Ogling/Facial Expressions/Staring,"Rajasthan 306401, India"," Teased by an older man  
						  More Information »
« Less Information
","20:00 Jan 05, 2016"
Indecent exposure,"Rarva, Uttar Pradesh 261141, India"," A man came on the bike and opened his zip in front of me  
						  More Information »
« Less Information
","20:00 Jan 05, 2016"
Taking pictures,"ADB PWD Colony, Sector 16A, Faridabad, Haryana 121002, India"," a girl was walking in her own district park when she saw somebody clicking her pictures and she treid hiding her face but the boy still captured...  
						  More Information »
« Less Information
","16:00 Jan 05, 2016"
Touching /Groping,"Sunrakh Bangar, Uttar Pradesh, India"," i was in bake bihari temple, it was extremely crowded. i was touched inappropriately more than once.  
						  More Information »
« Less Information
","14:00 Jan 04, 2016"
Commenting,"Shyam Nagar, Jogeshwari East, Mumbai, Maharashtra, India"," Comments were passed at me at Trimurti Seva sangh chawl  
						  More Information »
« Less Information
","14:00 Jan 04, 2016"
Commenting,"Vir Nagar Jain Colony, Block C, Rana Pratap Bagh, Ashok Vihar, New Delhi, Delhi 110007, India"," i can not explain  
						  More Information »
« Less Information
","14:00 Jan 04, 2016"
Taking pictures,Saboo village," I saw some guys taking pictures of me at a Losar (new year) party at my village  
						  More Information »
« Less Information
","20:32 Jan 03, 2016"
Commenting,"44, Block B, Mohan Cooperative Industrial Estate, Badarpur, New Delhi, Delhi 110076, India"," it started with commenting at the bus stop and then i was touched inappropriately on the bus  
						  More Information »
« Less Information
","20:00 Jan 03, 2016"
Touching /Groping,"Vadackal, Alappuzha, Kerala, Inde"," 2 men followed my boyfriend and me on the beach. They came on each side and the one on my side touched me  
						  More Information »
« Less Information
","23:00 Dec 31, 2015"
Commenting,"Barrister Nath Pai Nagar, Ghatkopar East, Mumbai, Maharashtra 400077, India"," cheap comments from pann nagar boys  
						  More Information »
« Less Information
","20:37 Dec 31, 2015"
Touching /Groping,"The Island, Park Town, Chennai, Tamil Nadu, India"," A boy groped me when he passed by me  
						  More Information »
« Less Information
","18:00 Dec 31, 2015"
Catcalls/Whistles,"Nashik, Maharashtra India"," once dining with my family there were a group of boys outside the hotel who were hula oohing which was cheap. it was difficult passing through...  
						  More Information »
« Less Information
","16:00 Dec 31, 2015"
Indecent exposure,"Basant Lok, Vasant Vihar, New Delhi, Delhi, India"," the girls were made to feel awkward when they were trying to enjoy themselves at the park.  
						  More Information »
« Less Information
","16:00 Dec 29, 2015"
Ogling/Facial Expressions/Staring,"Chaderghat, Gowliguda North, Gowliguda, Hyderabad, Telangana 500024"," I was in a temple when a boy strted winking showing abusive facial expressions  
						  More Information »
« Less Information
","11:00 Dec 29, 2015"
Rape / Sexual Assault,"Andhra Pradesh 534315, India"," We went on a school camp in 10 std and we visited the  market and all of us were in the bus. we realised that a man(stranger) was offering us...  
						  More Information »
« Less Information
","21:54 Dec 28, 2015"
Ogling/Facial Expressions/Staring,"Bapu Market, Biseswarji, Jaipur, Rajasthan, India"," a group of boys started following us.  
						  More Information »
« Less Information
","14:00 Dec 28, 2015"
Ogling/Facial Expressions/Staring,"Choglamsar 194104, Leh"," Age: 16 years
Type of harassment: 
Staring/Ogling- at Choglamsar (Leh) near Choglamsar bridge on 25th December, 2015 (evening)  
						  More Information »
« Less Information
","18:48 Dec 25, 2015"
Taking pictures,"chuloor centre,trissure district, Thriprayar, Kerala, India"," we had gone for NSS camp for 7 days. we used to travel to a school in the morning and everyday came across few bengalis buzy with their mobile....  
						  More Information »
« Less Information
","17:00 Dec 25, 2015"
Catcalls/Whistles,"Fern's Mansion, Bandra West, Mumbai, Maharashtra 400050, India"," loud banter of guys  
						  More Information »
« Less Information
","22:00 Dec 24, 2015"
Rape / Sexual Assault,"Kibera slum, Nairobi, Kenya"," A neighbour defiled 5 year old girls were defiled by their neighbour leaving them badly hurt  
						  More Information »
« Less Information
","19:00 Dec 23, 2015"
Sexual Invites,"Block A 5C, Possangipur, Janakpuri, New Delhi, Delhi 110058, India"," a girl who was standing in her balcony faced a horrendous sight when a man sitting in the car showed her his private parts and asked her to...  
						  More Information »
« Less Information
","18:00 Dec 23, 2015"
Rape / Sexual Assault,"Block BD, Munirka, New Delhi, Delhi 110067, India"," Happened in her family when her step father abused her physically for a year.  
						  More Information »
« Less Information
","08:00 Dec 23, 2015"
Stalking,"Bengaluru, Karnataka, India"," I have this number +919231688222 and guy calls me at odd hours & sends me lewd messages

I am from Bangalore. yes guy from calcutta and sends...  
						  More Information »
« Less Information
","23:38 Dec 22, 2015"
Touching /Groping,"Aruvappulam, Kerala, India"," Wrong touch given by stranger in a crowded street  
						  More Information »
« Less Information
","19:00 Dec 22, 2015"
Stalking,"Khar Road Railway Station, Bandra Terminus, Golibar, Khar West, Mumbai, Maharashtra 400051, India"," A person commented 'Mai Amit, mujhe pehchana kya?'& assaulted the girl.  
						  More Information »
« Less Information
","17:00 Dec 22, 2015"
Ogling/Facial Expressions/Staring,"Khan Market, Khan Market, Rabindra Nagar, New Delhi, Delhi 110003"," Catcalls, comments, lots of ogling, some stalking, and sexual invites in Khan Market. Groups of men gathered, especially around the parking...  
						  More Information »
« Less Information
","13:00 Dec 22, 2015"
Chain Snatching / Robbery,"Sector 2C, Sector 2, Gandhinagar, Gujarat, India"," I was on my way on my scooty to the supermarket when two boys snatched my chain.  
						  More Information »
« Less Information
","08:00 Dec 22, 2015"
Touching /Groping,"Kolomda, Jharkhand 835216, India"," A female friend of mine was touched while returning from tuitions  
						  More Information »
« Less Information
","20:00 Dec 21, 2015"
Rape / Sexual Assault,"Powai Vihar Complex, IIT Area, Powai, Mumbai, Maharashtra 400076"," 5 year old girl was raped by a 54 year old man by showing her money & fooling her into his house.  
						  More Information »
« Less Information
","19:39 Dec 21, 2015"
Stalking,"Mount Carmel Church/Lilavati Hospital, Ranwar, Bandra West, Mumbai, Maharashtra 400050"," A man was following me and my friend and commenting while we were walking down the road.  
						  More Information »
« Less Information
","18:44 Dec 21, 2015"
Ogling/Facial Expressions/Staring,"Hazrataganj Crossing Bus Stop, Ashok Marg, Hazratganj, Lucknow, Uttar Pradesh 226001, India"," It happened with my friend's brother when he was doing graduation. His immediate neighbor tried to sexually abuse him but he escaped as he informed...  
						  More Information »
« Less Information
","17:00 Dec 21, 2015"
Chain Snatching / Robbery,"Rajajipuram, Lucknow, Uttar Pradesh 226017, India"," During the afternoon two men came on a bike and snatched my chain and ran away.  
						  More Information »
« Less Information
","13:00 Dec 21, 2015"
Catcalls/Whistles,Srinagar," 3 guys misbehave with me yesterday,till then i informed my husband.They run away.No safety for tourists.#Srinagar #mohmadmufti #womensafety...  
						  More Information »
« Less Information
","19:00 Dec 20, 2015"
Ogling/Facial Expressions/Staring,"Shivaji Park, Mumbai, Maharashtra, India"," I was being followed by 2 men on a bike till this location.  
						  More Information »
« Less Information
","22:00 Dec 19, 2015"
Ogling/Facial Expressions/Staring,"Nawabganj, Tis Hazari, New Delhi, Delhi 110006, India"," at the metro station there were some men always sitting who made girls feel uncomfortable and stared them like anything.  
						  More Information »
« Less Information
","21:00 Dec 18, 2015"
Catcalls/Whistles,"Old Baneshwor, Kathmandu 44600, Nepal"," It was festive time and already dark. I was commented and teased by a gang of boys. One of them came to me hold my hand and asked if he can...  
						  More Information »
« Less Information
","20:00 Dec 18, 2015"
Catcalls/Whistles,"Sunakothi, 44700, Nepal"," It was night time. me and my friends were commented by drunkards. We got scared and ran away from there.  
						  More Information »
« Less Information
","20:00 Dec 18, 2015"
Catcalls/Whistles,"Narayanhiti, Kathmandu 44600, Nepal"," I was teased by a group of girls. They were throwing pebbles at me.  
						  More Information »
« Less Information
","19:00 Dec 18, 2015"
Ogling/Facial Expressions/Staring,"Narayanhiti, Kathmandu 44600, Nepal"," when we were going to home some boys teased us. They commented us.  
						  More Information »
« Less Information
","18:00 Dec 18, 2015"
Catcalls/Whistles,"Sunakothi, 44700, Nepal"," I was walking around the street. there i saw few boys were teasing some young girls.  
						  More Information »
« Less Information
","16:00 Dec 18, 2015"
Rape / Sexual Assault,"Narayanhiti, Kathmandu 44600, Nepal"," I heard this incident and I don't know if this is true or not. I heard that one of the old lady got raped by young teen boy.  
						  More Information »
« Less Information
","16:00 Dec 18, 2015"
Ogling/Facial Expressions/Staring,"Narayanhiti, Kathmandu 44600, Nepal"," while going to my sister's house one man gave me a lift. He was talking nonsense to me. Later he gave me his visiting card to give missed call...  
						  More Information »
« Less Information
","14:57 Dec 18, 2015"
Catcalls/Whistles,"Narayanhiti, Kathmandu 44600, Nepal"," I have experienced whistling and teasing on the street around my home area.  
						  More Information »
« Less Information
","14:32 Dec 18, 2015"
Commenting,"Narayanhiti, Kathmandu 44600, Nepal"," I have some friends on face book who send me texts unnecessarily.  
						  More Information »
« Less Information
","14:30 Dec 18, 2015"
Catcalls/Whistles,"Hanuman Dhoka, Kathmandu 44600, Nepal"," i was whistled and teased while visiting the place.  
						  More Information »
« Less Information
","14:03 Dec 18, 2015"
Commenting,"Imadol, Nepal"," I was being commented and teased unnecessarily while returning to my home.  
						  More Information »
« Less Information
","14:00 Dec 18, 2015"
Rape / Sexual Assault,"Narayanhiti, Kathmandu 44600, Nepal"," one of the girl whom I know was sexually harassed. she used to go to her best friend's home mostly. She was noticed by her best friend'd cousin....  
						  More Information »
« Less Information
","13:36 Dec 18, 2015"
Ogling/Facial Expressions/Staring,"Narayanhiti, Kathmandu 44600, Nepal"," my father's friend (uncle) used to stare me. this used to make me uncomfortable.  
						  More Information »
« Less Information
","13:27 Dec 18, 2015"
Catcalls/Whistles,"Azadpura, Lalitpur, Uttar Pradesh 284403, India"," Adolescent and adult male mostly harass girls, comment.  
						  More Information »
« Less Information
","13:24 Dec 18, 2015"
Catcalls/Whistles,"Sunakothi, 44700, Nepal"," In my neighborhood, there is a junction of boys. They gather over there. it makes girl uncomfortable to pass by  when they gather over there.  
						  More Information »
« Less Information
","12:38 Dec 18, 2015"
Rape / Sexual Assault,"Narayanhiti, Kathmandu 44600, Nepal"," Some boys were trying to persuade girls to have sex. It was sexual invite but she wanted to go to home.  
						  More Information »
« Less Information
","12:34 Dec 18, 2015"
Catcalls/Whistles,"Chabahil, Kathmandu 44600, Nepal"," it happened to my sister. She used to go to college early in the morning. on that day, she was shown sexual organs and she was done unsafe sexual...  
						  More Information »
« Less Information
","12:29 Dec 18, 2015"
Catcalls/Whistles,"Azadpura, Lalitpur, Uttar Pradesh 284403, India"," boys were teasing girls before girl's only college compound.  
						  More Information »
« Less Information
","12:21 Dec 18, 2015"
Commenting,"Narayanhiti, Kathmandu 44600, Nepal"," I was with my group of friends in festive season. It was night time. We passed by drunk people and it was all fine till this. Later one of my...  
						  More Information »
« Less Information
","12:19 Dec 18, 2015"
Commenting,"Narayanhiti, Kathmandu 44600, Nepal"," My school friends comment wrong about me.  
						  More Information »
« Less Information
","12:16 Dec 18, 2015"
Catcalls/Whistles,"Shantinagar, Kathmandu 44600, Nepal"," 3 of my friends were coming to my home. On the way they were teased and followed till my home.  
						  More Information »
« Less Information
","11:47 Dec 18, 2015"
Stalking,"Gaushala, Kathmandu 44600, Nepal"," I was heading towards my home. On the way to my home, I was going through subway. I noticed a guy was following me. He followed me for 15 minutes....  
						  More Information »
« Less Information
","11:37 Dec 18, 2015"
Ogling/Facial Expressions/Staring,"Bhimsengola, Kathmandu 44600, Nepal"," When I was returning to home. some guys came on bike and started commenting me. I reacted and asked them to tell this to his mom and sisters.  
						  More Information »
« Less Information
","11:09 Dec 18, 2015"
Catcalls/Whistles,"Gaushala, Kathmandu 44600, Nepal"," some boys followed us. They were making loud noise and they were disturbing us. They even followed us.  
						  More Information »
« Less Information
","10:00 Dec 18, 2015"
Catcalls/Whistles,"Gaurighat, Kathmandu 44600, Nepal"," I was going to my aunt's house to invite them for some function.On the way back home, I was teased by boys and I ran back to home.  
						  More Information »
« Less Information
","07:00 Dec 18, 2015"
Ogling/Facial Expressions/Staring,"Dhoop Chhaon, Bandra West, Mumbai, Maharashtra 400050, India"," the area is surrounded with indecent people who oogle and pass comments  
						  More Information »
« Less Information
","23:00 Dec 17, 2015"
Ogling/Facial Expressions/Staring,"Churchgate, Maharshi Karve Rd, Churchgate, Mumbai, Maharashtra 400020, India"," As I was waiting for the train, a man would not stop staring at me.  
						  More Information »
« Less Information
","18:30 Dec 17, 2015"
Ogling/Facial Expressions/Staring,"Addl. C.P. Office, Bandra West, Mumbai, Maharashtra 400050"," he kept laughing loudly to attract attention,then made bad gestures relating to a woman's body parts. it was not possible to ignore him, he...  
						  More Information »
« Less Information
","12:00 Dec 17, 2015"
Stalking,"50, KVP Sapatnekar Marg, Anand Park, Aundh, Pune, Maharashtra 411007, India"," For a week in the morning when I found be taking my dog for a walk, a milkman on a bike would follow me and times try to talk to me. I felt...  
						  More Information »
« Less Information
","08:00 Dec 17, 2015"
Stalking,"50, KVP Sapatnekar Marg, Anand Park, Aundh, Pune, Maharashtra 411007, India"," For a week in the morning when I found be taking my dog for a walk, a milkman on a bike would follow me and times try to talk to me. I felt...  
						  More Information »
« Less Information
","08:00 Dec 17, 2015"
Catcalls/Whistles,"Govandi, Govandi Station Over Bridge, Tata Nagar, Govandi East, Mumbai, Maharashtra 400088, India"," I was going to catch a train on my way home when i saw few men smiling towards me and one of them whistled at me.  
						  More Information »
« Less Information
","21:00 Dec 16, 2015"
Chain Snatching / Robbery,"Sanatan Dharm Vidyalaya, कलेक्टर कॉलोनी, Chembur, Mumbai, Maharashtra 400074"," in broad daylight,my sisters chain was snatched.they were following from quite sometime  
						  More Information »
« Less Information
","13:00 Dec 16, 2015"
Ogling/Facial Expressions/Staring,"M4/34, Shastri Nagar, Guru Nanak Nagar Colony, Sigra, Varanasi, Uttar Pradesh 221002, India"," whistling and commenting on an aquaintance  
						  More Information »
« Less Information
","12:00 Dec 16, 2015"
Touching /Groping,"Ulhasnagar, Maharashtra 421002, India"," people at local theater have no manners,i once went out with my frieds to watch a movie when a guy sitting next to me tried touching  my hand.  
						  More Information »
« Less Information
","18:00 Dec 15, 2015"
Chain Snatching / Robbery,"Haider Pur, Shalimar Bagh, New Delhi, Delhi 110088, India"," a lady shopping had her purse in her hand which was taken away by a two men on a bike.  
						  More Information »
« Less Information
","13:00 Dec 15, 2015"
Touching /Groping,"Gairidhara, Kathmandu 44600, Nepal"," My 7 years old daughter goes to school in her school bus and because of the current Indian blockade and fuel crisis the school has been hiring...  
						  More Information »
« Less Information
","17:58 Dec 14, 2015"
Ogling/Facial Expressions/Staring,"Shyam Nagar, Jogeshwari East, Mumbai, Maharashtra, India"," On the ground, I was looked at in a dirty fashion and also spoken to in a dirty way  
						  More Information »
« Less Information
","17:15 Dec 14, 2015"
Commenting,"Machha Pokhari, Ring Road, Kathmandu 00977, Nepal"," i was stared with bad intension while I was passing through the street even I have faces commenting and teasing from boys which makes me feel...  
						  More Information »
« Less Information
","16:34 Dec 14, 2015"
Ogling/Facial Expressions/Staring,"NO.5, Military Rd, Mora Gaon, Juhu, Mumbai, Maharashtra 400047, India"," A BOY WAS STARING AT US AND WAS TRYING TO USE HIS PHONE. WHEN ONE OF US WERE DOUBTFUL ,WE WENT TO HIM AND TOOK HIS PHONE.HE WAS CLICKING PICTURES...  
						  More Information »
« Less Information
","18:00 Dec 13, 2015"
Rape / Sexual Assault,"mumbai, Maharashtra, India"," I saw a man beating his wife & shouting at her.  
						  More Information »
« Less Information
","13:00 Dec 13, 2015"
Sexual Invites,"Narayanhiti, Kathmandu 44600, Nepal"," My boss always asked me to go outside with him.He use to take me to cafe and restaurants and speak nonsense.One day he took me to Dulikhel by...  
						  More Information »
« Less Information
","11:00 Dec 13, 2015"
Catcalls/Whistles,"Eksar, Borivali West, Mumbai, Maharashtra, India"," catcalling and whistling  
						  More Information »
« Less Information
","18:15 Dec 12, 2015"
Catcalls/Whistles,"Bhatbhateni, Kathmandu 44600, Nepal"," when i was returning from my school two boys were whistling and teasing me.  
						  More Information »
« Less Information
","16:00 Dec 11, 2015"
Touching /Groping,"Ladpura, Tilak Nagar, Nayapura, Kota, Rajasthan 324002, India"," This incident happened to a friend as well as to me. We were walking by the road and few masked men on bikes did this.  
						  More Information »
« Less Information
","16:00 Dec 11, 2015"
Stalking,"T Nagar, Chennai, Tamil Nadu 600017, India"," When i was coming back from shopping, i noticed a guy who was behind me from quite some time and what scared me is he followed me till my house.  
						  More Information »
« Less Information
","20:00 Dec 10, 2015"
Stalking,"Tukaram Paduka, Shivajinagar, Pune, Maharashtra 411004, India"," One of his friend were going from Dyaneshwar Paduka chawk with her friend. It was night.  3-4 boys were stalking them. His friends went to model...  
						  More Information »
« Less Information
","20:00 Dec 10, 2015"
Commenting,"Bhatbhateni, Kathmandu 44600, Nepal"," teasing while going to school and while coming back from school from the local boys of bhatbhateni area  
						  More Information »
« Less Information
","09:30 Dec 10, 2015"
Touching /Groping,"Indore Junction, Chhoti Gwaltoli, Indore, Madhya Pradesh 452007, India"," late night(around 11.30)a middle aged guy gave me a lift. During the ride, he pushed himself towards me and tried to hold me by my leg. Thankfully,...  
						  More Information »
« Less Information
","23:00 Dec 09, 2015"
Stalking,"Sankhu, Shankharapur 44600, Nepal"," I along with three other friends were returning from party. Two boys teased us by singing and commenting us but we ignored them. Then they followed...  
						  More Information »
« Less Information
","21:00 Dec 09, 2015"
Catcalls/Whistles,"Eksar, Borivali West, Mumbai, Maharashtra, India"," A man was whistling at me.  
						  More Information »
« Less Information
","18:00 Dec 09, 2015"
Ogling/Facial Expressions/Staring,Leh 194101," Age: 17 years
Type of harassment:
Staring/Ogling- when I was roaming in Leh market (evening)
Stalking- in 2014 during “kachos” (sermon) in Choglamsar...  
						  More Information »
« Less Information
","16:56 Dec 09, 2015"
Sexual Invites,"Maitidevi, Kathmandu 44600, Nepal"," I was planning to buy a socks. As it was evening time and shops were being closed. There I saw a woolen shop where I thought I could get a pair...  
						  More Information »
« Less Information
","16:39 Dec 09, 2015"
Catcalls/Whistles,"Koteshwor, Kathmandu 44600, Nepal"," My sister was going to school. Some boys whistled at her.  
						  More Information »
« Less Information
","16:31 Dec 09, 2015"
